id,asset_id,start_date,end_date
1,8,2024-02-26,2024-03-02
2,4,2024-02-26,2024-02-28
3,9,2024-02-26,2024-03-07
4,10,2024-02-26,2024-03-06
5,9,2024-03-09,2024-03-20
6,2,2024-02-26,2024-03-04
7,6,2024-02-26,2024-03-05
8,1,2024-02-26,2024-03-07
9,5,2024-02-26,2024-02-29
10,10,2024-03-09,2024-03-14
11,8,2024-03-06,2024-03-16
12,2,2024-03-08,2024-03-17
13,1,2024-03-08,2024-03-18
14,9,2024-03-23,2024-03-27
15,1,2024-03-21,2024-03-22
16,6,2024-03-08,2024-03-09
17,2,2024-03-19,2024-03-25
18,6,2024-03-13,2024-03-21
19,5,2024-03-02,2024-03-11
20,1,2024-03-24,2024-03-28
21,9,2024-03-30,2024-04-06
22,9,2024-04-08,2024-04-14
23,10,2024-03-16,2024-03-17
24,3,2024-02-26,2024-03-07
25,7,2024-02-26,2024-03-04
26,5,2024-03-12,2024-03-17
27,9,2024-04-16,2024-04-18
28,9,2024-04-22,2024-04-24
29,7,2024-03-07,2024-03-16
30,4,2024-03-01,2024-03-11
31,10,2024-03-18,2024-03-24
32,3,2024-03-08,2024-03-10
33,9,2024-04-28,2024-05-07
34,5,2024-03-18,2024-03-28
35,6,2024-03-24,2024-04-02
36,2,2024-03-29,2024-04-05
37,10,2024-03-25,2024-04-05
38,5,2024-03-30,2024-04-07
39,6,2024-04-03,2024-04-05
40,8,2024-03-18,2024-03-29
